country,city,name,system,operator,launched,discontinued
Romania,Topoloveni,nextbike[17],NA,NA,NA,NA
Russia,Almetyevsk,Gobike,NA,NA,September 2017[267],NA
Russia,Kazan,Veli'k,3 Gen. Cyclocity,Russ Outdoor[268],1 July 2013,2019[269]
Russia,Moscow,Velobike,Smoove,CityBike,June 2013,NA
Russia,Saint Petersburg,Velogorod,NA,NA,July 2014,2020[270]
Russia,Various locations,Whoosh,4 Gen.,NA,2021[271],NA
Russia,Various locations,Urent,4 Gen.,NA,2018[272],NA
Saudi Arabia,"Riyadh, Andorra Village",TIER[25],NA,NA,NA,NA
Saudi Arabia,Riyadh,Dott[20],NA,NA,NA,NA
Serbia,Novi Sad,NS Bike,Parking Servis,NA,2011,NA
Slovakia,Bratislava,Whitebikes,Open Source Bike Share,NA,May 2014,NA
Slovakia,Bratislava,Slovnaft BAjk,NA,Slovnaft,7 September 2018[273],NA
Slovakia,Bratislava,Verejný bicykel,NA,Antik Telecom,1 June 2020[274],NA
Slovakia,Bratislava,Rekola[66],4 Gen.,Rekola,7 September 2020[275],NA
Slovakia,Humenné,Verejný bicykel,NA,Antik Telecom,22 June 2021[276],NA
Slovakia,Košice,Verejný bicykel,NA,Antik Telecom,24 April 2019[277],NA
Slovakia,Krásno nad Kysucou,Verejný bicykel,NA,Antik Telecom,26 May 2021[278],NA
Slovakia,Kysucké Nové Mesto,Verejný bicykel,NA,Antik Telecom,26 May 2021[278],NA
Slovakia,Moldava nad Bodvou,Verejný bicykel,NA,Antik Telecom,25 July 2019[279],NA
Slovakia,Nitra,ARRIVA Bike,nextbike,Arriva,28 July 2017[280],NA
Slovakia,"Poprad, Spišská Teplica",Verejný bicykel,NA,Antik Telecom,8 August 2019[281]14 May 2021[282],26 February 2024[283]
Slovakia,Považská Bystrica,Verejný bicykel,NA,Antik Telecom,17 June 2022[284],NA
Slovakia,"Prešov, Veľký Šariš",Verejný bicykel,NA,Antik Telecom,24 June 2020[285]6 July 2021[286],NA
Slovakia,Sabinov,Verejný bicykel,NA,Antik Telecom,28 July 2021[287],NA
Slovakia,Sečovce,Verejný bicykel,NA,Antik Telecom,30 June 2023[288],NA
Slovakia,Senec,nextbike[17],NA,NA,NA,NA
Slovakia,Senica,nextbike[17],NA,NA,NA,NA
Slovakia,Snina,Verejný bicykel,NA,Antik Telecom,28 June 2021[276],NA
Slovakia,Svidník,Verejný bicykel,NA,Antik Telecom,8 June 2021[289],NA
Slovakia,Svit,Verejný bicykel,NA,Antik Telecom,14 May 2021[282],NA
Slovakia,Terchová,Verejný horský e-bicykel,NA,Antik Telecom,28 April 2023[290],NA
Slovakia,Trebišov,Verejný bicykel,NA,Antik Telecom,17 July 2019[291],NA
Slovakia,Trnava,Arboria bike,NA,City of Trnava,1 March 2019[292],NA
Slovakia,Vranov nad Topľou,Verejný bicykel,NA,Antik Telecom,15 June 2022[293],NA
Slovakia,Žilina,BikeKIA,nextbike,Arriva,29 March 2019[294],NA
Slovakia,Žilina,nextbike[17],NA,NA,NA,NA
Slovenia,Celje,KolesCE,NA,Nomago,13 September 2018,NA
Slovenia,Kamnik,NA,NA,NA,NA,NA
Slovenia,Kranj,KRsKOLESOM,NA,Mestna občina Kranj,NA,NA
Slovenia,Ljubljana,Bicike(lj),Cyclocity,JCDecaux,12 May 2011,NA
Slovenia,Ljubljana,nextbike[17],NA,NA,NA,NA
Slovenia,Novo Mesto,goNM[298],NA,NA,NA,NA
Slovenia,Murska Sobota,Soboški biciklin[299],NA,NA,NA,NA
Slovenia,Rogaška Slatina and Podčetrtek,NA,NA,NA,NA,NA
Slovenia,Velenje,BICY,MICikel,NA,18 September 2012,NA
Slovenia,Various locations,nextbike[17],NA,NA,NA,NA
South Africa,"Orania, Northern Cape",Orania Openbare Fietsprojek,NA,NA,16 July 2014,NA
South Korea,Changwon,NUBIJA,NA,NA,October 2008,NA
South Korea,Daejeon,Tashu,Tashu,"Daejeon Metropolitan Government, Daejeon Metropolitan City Facilities Management Corporation",13 October 2008,NA
South Korea,Sejong,Eouling,Eouling & New Eouling,Sejong City Transportation Corporation,28 October 2014,NA
South Korea,Seoul,Ddareungi,NA,NA,15 October 2015,NA
Spain,A Coruña,Bicicoruña,NA,NA,NA,NA
Spain,Arteixo,nextbike[17],NA,NA,NA,NA
Spain,Barcelona,Bicing,3 Gen. Clear CC,NA,22 March 2007,NA
Spain,Barcelona,Bolt[304],NA,NA,NA,NA
Spain,Barcelona,Donkey Republic[22],NA,NA,NA,NA
Spain,Barcelona,RideMovi[217],NA,NA,NA,NA
Spain,Province of Barcelona,Ambici,nextbike[17],NA,NA,NA
Spain,Bilbao,nextbike[17],NA,NA,NA,NA
Spain,Biscay,nextbike[17],NA,NA,NA,NA
Spain,Canary Islands,nextbike[17],NA,NA,NA,NA
Spain,Córdoba,Eco-bici,3 Gen. Cyclocity,JCDecaux,2003,NA
Spain,Costa Adeje Region,Dott[20],NA,NA,NA,NA
Spain,Elche (Elx),bicielx,NA,NA,14 June 2010,NA
Spain,Estepona,Dott[20],NA,NA,NA,NA
Spain,Gijón,Gijon bici,NA,NA,2003 (relaunched in 2023),NA
Spain,Girona,Girocleta,NA,NA,25 September 2009,NA
Spain,Ibiza,nextbike[17],NA,NA,NA,NA
Spain,Ibiza,Dott[20],NA,NA,NA,NA
Spain,Las Palmas de Gran Canaria,nextbike[17],NA,NA,NA,NA
Spain,León,nextbike[17],NA,NA,NA,NA
Spain,Logroño,nextbike[17],NA,NA,NA,NA
Spain,Madrid,BiciMAD,NA,NA,May 2014,NA
Spain,"Málaga, Andalucía",MálagaBici[309],Cemusa,NA,2013,November 2021[310]
Spain,"Málaga, Andalucía",Dott[20],NA,NA,NA,NA
Spain,Mislata,nextbike[17],NA,NA,NA,NA
Spain,"Murcia, Region of Murcia",Muybici[311],NA,NA,NA,NA
Spain,Ontinyent,nextbike[17],NA,NA,NA,NA
Spain,Palma,Bicipalma,nextbike[17],NA,28 March 2011,NA
Spain,Pamplona,n'bici,NA,NA,July 2007,NA
Spain,Santander,nextbike[17],NA,NA,NA,NA
Spain,Santander,Tusbic,3 Gen. Cyclocity,NA,September 2008,NA
Spain,Santa Cruz de Tenerife,Dott[20],NA,NA,NA,NA
Spain,Terragona,Dott[20],NA,NA,NA,NA
Spain,Seville,Sevici,3 Gen. Cyclocity,NA,April 2007,NA
Spain,Torrent,nextbike[17],NA,NA,NA,NA
Spain,Urdaibai,nextbike[17],NA,NA,NA,NA
Spain,Valencia,Valenbisi,3 Gen. Cyclocity,JCDecaux,22 June 2010,NA
Spain,Valladolid,Biki,NA,NA,NA,NA
Spain,Zaragoza,Bizi,3 Gen. Clear CC,NA,28 May 2008,NA
Sweden,Gothenburg,Bolt[316],NA,NA,NA,NA
Sweden,Gothenburg,nextbike[17],NA,NA,NA,NA
Sweden,Gothenburg,Styr & Ställ[317],3 Gen. Cyclocity,JCDecaux,10 August 2010,NA
Sweden,Lund,Lundahoj,3 Gen. Cyclocity,JCDecaux,20 August 2014,NA
Sweden,Malmö,Bolt[318],NA,NA,NA,NA
Sweden,Malmö,Malmö By Bike,3 Gen. Clear CC,NA,14 May 2016,NA
Sweden,Stockholm,RideMovi[217],NA,NA,NA,NA
Sweden,Stockholm,Stockholm City Bikes,3 Gen. Clear CC,NA,April 2006,NA
Sweden,Various locations,Donkey Republic[126],NA,NA,NA,NA
Switzerland,"Aigle, Monthey",PubliBike,PubliBike,NA,2010,NA
Switzerland,Bern,PubliBike,PubliBike,NA,2011,NA
Switzerland,Chur,MOOINZ,nextbike[17],NA,NA,NA
Switzerland,Freiburg,PubliBike,PubliBike,NA,2010,NA
Switzerland,Geneva,Donkey Republic[22],NA,NA,NA,NA
Switzerland,Lausanne,PubliBike,PubliBike,NA,April 2013,NA
Switzerland,Lausanne,velopass,NA,NA,June 2009,April 2013
Switzerland,Lugano,PubliBike,PubliBike,NA,2010,NA
Switzerland,Luzern,nextbike,3 Gen. nextbike,NA,2008,NA
Switzerland,"Nyon, Gland",PubliBike,PubliBike,NA,2011,NA
Switzerland,Schaffhausen,TIER[25],NA,NA,NA,NA
Switzerland,Sion,PubliBike,PubliBike,NA,2010,NA
Switzerland,St. Gallen,TIER[25],NA,NA,NA,NA
Switzerland,Uzwil,TIER[25],NA,NA,NA,NA
Switzerland,Various locations,nextbike Switzerland[17],NA,NA,NA,NA
Switzerland,Various locations,Donkey Republic[22],NA,NA,NA,NA
Switzerland,Vevey,PubliBike,PubliBike,NA,2009,NA
Switzerland,Winterthur,TIER[25],NA,NA,NA,NA
Taiwan,Changhua,YouBike,1.0,NA,22 May 2014,30 June 2021
Taiwan,Changhua,MOOVO,NA,NA,30 June 2021,NA
Taiwan,Kaohsiung,City Bike,NA,NA,1 March 2009,25 June 2020
Taiwan,Kaohsiung,YouBike,2.0,NA,1 July 2020,NA
Taiwan,Kaohsiung,YouBike,2.0E,NA,16 November 2022,NA
Taiwan,Taipei,YouBike,1.0,NA,11 March 2009,3 November 2022
Taiwan,Taipei,YouBike,2.0,NA,15 January 2020,NA
Taiwan,Taipei,YouBike,2.0E,NA,30 August 2024,NA
Taiwan,New Taipei City,NewBike,NA,NA,31 October 2008,April 2015
Taiwan,New Taipei City,YouBike,1.0,NA,1 January 2014,6 August 2024
Taiwan,New Taipei City,YouBike,2.0,NA,20 October 2021,NA
Taiwan,New Taipei City,YouBike,2.0E,NA,30 August 2024,NA
Taiwan,Taoyuan,YouBike,1.0,NA,4 February 2016,31 August 2024
Taiwan,Taoyuan,YouBike,2.0,NA,22 December 2023,NA
Taiwan,Taoyuan,YouBike,2.0E,NA,1 February 2024,NA
Taiwan,Hsinchu County,YouBike,2.0,NA,27 June 2022,NA
Taiwan,Hsinchu County,YouBike,2.0E,NA,7 February 2024,NA
Taiwan,Hsinchu,YouBike,1.0,NA,26 May 2016,1 June 2023
Taiwan,Hsinchu,YouBike,2.0,NA,12 July 2022,NA
Taiwan,Hsinchu Science Park,YouBike,1.0,NA,30 August 2017,1 June 2023
Taiwan,Hsinchu Science Park,YouBike,2.0,NA,12 July 2022,NA
Taiwan,Hsinchu Science Park,YouBike,2.0E,NA,8 January 2023,NA
Taiwan,Miaoli,YouBike,1.0,NA,26 June 2018,NA
Taiwan,Miaoli,YouBike,2.0,NA,13 March 2024,NA
Taiwan,Miaoli,YouBike,2.0E,NA,13 March 2024,NA
Taiwan,Taichung,YouBike,1.0 (iBike),NA,18 July 2014,28 June 2023
Taiwan,Taichung,YouBike,2.0,NA,18 December 2020,NA
Taiwan,Taichung,YouBike,2.0E,NA,21 June 2022,NA
Taiwan,Chiayi,Chia e-bike,NA,NA,3 February 2016,8 April 2019
Taiwan,Chiayi,YouBike,2.0,NA,15 December 2020,NA
Taiwan,Chiayi,YouBike,2.0E,NA,1 December 2021,NA
Taiwan,Chiayi County,Youbike,2.0,NA,3 July 2024,NA
Taiwan,Chiayi County,Youbike,2.0E,NA,3 July 2024,NA
Taiwan,Tainan,T-Bike,NA,NA,8 August 2016,28 February 2023
Taiwan,Tainan,YouBike,2.0,NA,23 February 2023,NA
Taiwan,Tainan,YouBike,2.0E,NA,21 April 2023,NA
Taiwan,Pingtung City,Pbike,NA,NA,4 December 2014,28 February 2023
Taiwan,Pingtung City,YouBike,2.0,NA,1 February 2023,NA
Taiwan,Pingtung City,YouBike,2.0E,NA,24 April 2023,NA
Taiwan,Yunlin County,MOOVO,NA,NA,3 August 2023,NA
Taiwan,Kinmen,K Bike,NA,NA,16 April 2017,31 December 2023
Taiwan,Taitung City,YouBike,2.0,NA,End of 2024,NA
Taiwan,Taitung City,YouBike,2.0E,NA,End of 2024,NA
Thailand,Bangkok,KU Mobike,Mobike,NA,2017,NA
Thailand,Bangkok,CU Bike,Smoove,NA,2012[321],NA
Thailand,Bangkok,Pun Pun Bike Share,NA,NA,2012[322][323],NA
Thailand,Bangkok,oBike,4 Gen. oBike,NA,July 2017,Discontinued
Thailand,Chiang Mai,Mobike,Mobike,NA,2018,Discontinued
Turkey,Istanbul,İsbike,NA,NA,2012,NA
Turkey,İzmir,Bisim,NA,NA,January 2014,NA
Turkey,Karşıyaka,Karbis,3 Gen. nextbike,NA,January 2014,NA
Turkey,Konya,nextbike,3 Gen. nextbike,NA,NA,NA
Ukraine,Kyiv,nextbike,3 Gen. nextbike,nextbike Kyiv LLC,15 August 2018[324],Discontinued
Ukraine,Lviv,nextbike,3 Gen. nextbike,nextbike Ukraine LLC,31 March 2016[325],Discontinued
United Arab Emirates,Abu Dhabi,ADCB Bikeshare,8D,Cyacle,December 2014,NA
United Arab Emirates,"Dubai, Dubai Hills Mall",TIER[25],NA,NA,NA,NA
United Arab Emirates,"Dubai, Expo 2020 District",TIER[25],NA,NA,NA,NA
United Arab Emirates,Ras Al-Khaimah,TIER[25],NA,NA,NA,NA
United Arab Emirates,"Sharjah, American University of Sharjah",TIER[25],NA,NA,NA,NA
England,Basildon,Dott[20],NA,NA,NA,NA
England,Bath,Dott[20],NA,NA,NA,NA
England,Bath,TIER[25],NA,NA,NA,NA
England,Barton-upon-Humber,Factory Bikes,WhiteBikes,Elswick Hopper,19??,19??
England,Blackpool,Hire-a-Bike,Hourbike,NA,2009,NA
England,Braintree,Dott[20],NA,NA,NA,NA
England,Bristol,Dott[20],NA,NA,NA,NA
England,Bristol,TIER[25],NA,NA,NA,NA
England,Bristol,YoBike,YoBike,NA,May 2017,NA
England,Cambridge,GreenBike,WhiteBikes,NA,1993,1995
England,Chelmsford,Dott[20],NA,NA,NA,NA
England,Colchester,Dott[20],NA,NA,NA,NA
England,Colchester,TIER[25],NA,NA,NA,NA
England,Derby,Lime,NA,NA,NA,NA
England,Greater Manchester,GM Cycle Hire,NA,Beryl,November 2021[328],NA
England,Liverpool,City Bike,NA,NA,May 2014,July 2022[329]
England,London,Santander Cycles (formerly Barclays Cycle Hire),PBSC & 8D,Serco,30 July 2010,NA
England,London,TIER[25],NA,NA,NA,NA
England,Leicester,Santander Cycles Leicester,NA,RideOn,14 April 2021[332],2023[333]
England,Milton Keynes,Santander Cycles MK,3 Gen. nextbike,CycleSaviours,17 June 2016,NA
England,Milton Keynes,TIER[25],NA,NA,NA,NA
England,Milton Keynes,Dott[20],NA,NA,NA,NA
England,Newcastle,ScratchBikes(known as WhipBikes until 2011),ScratchBikes,NA,2010,NA
England,Nottingham,Ucycle,Sustrans & Evans Cycles,NA,2010,NA
England,Portsmouth,Bikeabout,Public Velo,University of Portsmouth,1996,1998
England,Slough,Smoove,3 Gen. Smoove,NA,November 2013,NA
England,Southampton,YoBike,YoBike,NA,September 2017,NA
Northern Ireland,Belfast,Belfast Bikes,3 Gen. nextbike,NSL,27 April 2015,NA
Scotland,Dundee,Embark Dundee,NA,RideOn,NA,NA
Scotland,Edinburgh,Just Eat Cycles,Urban Sharing,Serco,24 June 2018,NA
Scotland,Glasgow,Mass Automated Cycle Hire (MACH),3 Gen. nextbike,NA,24 June 2014,NA
Wales,Cardiff,Nextbike,3 Gen. nextbike,NA,March 2018,December 2023
Alaska,Fairbanks,Fairbikes,A2B Bikeshare,NA,24 September 2015,NA
Arizona,Phoenix,Grid Bike Share,3 Gen. CycleHop and Social Bicycles,NA,25 November 2014,NA
Arkansas,Bentonville,Bentonville BCycle[334],NA,NA,NA,NA
California,Encinitas,Encinitas BCycle[334],NA,NA,NA,NA
California,Fullerton,OCTA BikeShare,Bike Nation,NA,6 January 2014,NA
California,Los Angeles,Metro Bike Share[335],3 Gen. B-Cycle,NA,7 July 2016,NA
California,Redding,Redding Bikeshare[336],NA,NA,NA,NA
California,San Diego,DecoBike[337],DecoBike,JCDecaux,February 2015,NA
California,San Francisco Bay Area,Bay Wheels,8D,Motivate,June 2017,NA
California,Santa Barbara,Santa Barbara BCycle[338],NA,NA,NA,NA
California,Santa Cruz,Santa Cruz BCycle[339],NA,NA,NA,NA
California,Santa Monica,Breeze Bike Share[340],3 Gen. CycleHop and Social Bicycles,NA,13 August 2015,NA
California,Truckee,Truckee BCycle[341],NA,NA,NA,NA
Colorado,Aspen,WE-cycle,PBSC,NA,June 2013,NA
Colorado,Boulder,Boulder B-Cycle[342][343],3 Gen. B-Cycle,NA,2011,NA
Colorado,Denver,Denver B-cycle[344],3 Gen. B-Cycle,NA,2010,January 2020
Colorado,Meridian,M-Bike,Zagster,NA,15 March 2010,NA
Georgia,Atlanta,Relay Bike Share,NA,NA,May 2016,NA
Georgia,Savannah,CAT Bike[345],3 Gen. B-Cycle,NA,24 January 2014,NA
Hawaii,Honolulu,Biki[346],NA,NA,NA,NA
Hawaii,Kailua,Hawaii B-cycle[347][348],3 Gen. B-Cycle,NA,2011,Discontinued
Hawaii,Kona District,NA,PBSC,NA,2016,NA
Idaho,Boise,Boise Bike Share[349],Social Bicycle,NA,16 April 2015,September 2020[350][351]
Illinois,Chicago,Divvy[352][353],PBSC & 8D,Motivate,2013,NA
Indiana,Indianapolis,Indiana Pacers Bikeshare[354],B-Cycle,Indianapolis Cultural Trail,22 April 2014,NA
Iowa,Des Moines,Des Moines B-cycle[355][356],3 Gen. B-Cycle,NA,2010,NA
Florida,Aventura,Aventura BCycle[357],NA,NA,NA,NA
Florida,"Fort Lauderdale, Broward County",Broward B-Cycle,3 Gen. B-Cycle,NA,2011,NA
Florida,Miami Beach,Decobike[358],SandVault,NA,2011,NA
Florida,Tampa,Coast Bike Share[359],3 Gen. CycleHop and Social Bicycles,NA,7 December 2014,NA
Massachusetts,Boston,Bluebikes[360],PBSC & 8D,Motivate,2011,NA
Massachusetts,Springfield and Pioneer Valley,ValleyBike Share,NA,Begwegen Technologies[361],28 June 2018[362],NA
Michigan,Ann Arbor,ArborBike[363],3 Gen. B-Cycle,NA,2014,Discontinued[364]
Michigan,Battle Creek,Battle Creek BCycle[365],3 Gen. B-Cycle,NA,19 August 2013,Discontinued
Michigan,Lansing,Capital Community Bikeshare,A2B Bikeshare,NA,2014,NA
Minnesota,Minneapolis–Saint Paul,Nice Ride Minnesota[366][367],PBSC & 8D,NA,2010,13 November 2022[368]
Minnesota,St. Paul,Yellow Bike Project,1 Gen. w/ BikeCard,volunteers and city council,1997,NA
Missouri,Jackson County,Jackson County BCycle[369],NA,NA,NA,NA
Missouri,Kansas City,Kansas City B-cycle[370],3 Gen. B-Cycle,NA,2012,Discontinued
Nebraska,Lincoln,BikeLNK[371],3 Gen. B-Cycle,NA,2018,NA
Nebraska,"Omaha / Council Bluffs, Iowa",Heartland Bike Share[372],3 Gen. B-Cycle,NA,2011,NA
Nebraska,Valentine,Valentine Bike Share[334],BCycle,NA,NA,NA
Nevada,Black Rock City,Yellow Bikes[373],Yellow Bikes,NA,NA,NA
Nevada,Las Vegas,RTC Bike Share[374],B-Cycle,NA,NA,NA
New Jersey,Hoboken,Hudson Bike Share[375],3 Gen. nextbike,NA,September 2015,NA
New Jersey,Jersey City,Citi Bike[376],8D,Motivate,September 2015,NA
New York,New York City,Citi Bike[377][378][379][380][381],PBSC & 8D,Motivate,27 May 2013,NA
North Carolina,Charlotte,Charlotte B-Cycle[382],3 Gen. B-Cycle,NA,2012,NA
North Dakota,Bismarck,BisParks BCycle[383],NA,NA,NA,NA
North Dakota,Fargo,GreatRides[384][385],3 Gen. B-Cycle,NA,15 March 2010,Discontinued
Ohio,Cincinnati,Red Bike[386][387],3 Gen. B-Cycle,NA,15 September 2014,NA
Ohio,Columbus,CoGo,PBSC & 8D,Motivate,July 2013,NA
Oklahoma,Oklahoma City,Spokies[388],Spokies,NA,2012,NA
Oregon,Eugene,PeaceHealth Rides[389],PeaceHealth Rides,NA,2018,NA
Oregon,Portland,Biketown,NA,NA,19 July 2016,NA
Oregon,Portland,Yellow Bike Project,1 Gen. WhiteBikes,Yellow Bike Project,1994[390],1997[391]
Pennsylvania,Philadelphia,Indego[392][393],3 Gen. B-Cycle (incl. some e-bikes,NA,23 April 2015,NA
Pennsylvania,Pittsburgh,POGOH,PBSC,NA,2022,NA
South Carolina,Columbia,BlueBikeSC,NA,Bbewege,September 2018,NA
South Carolina,Greenville,Greenville BCycle[394],NA,NA,NA,NA
South Carolina,Spartanburg,Spartanburg B-Cycle[395],3 Gen. B-Cycle,NA,2011,Discontinued
Tennessee,Chattanooga,Bike Chattanooga Bicycle Transit System[396],PBSC,NA,2012,NA
Tennessee,Clarksville,Clarksville BCycle[397],NA,NA,NA,NA
Tennessee,Memphis,Explore Bike Share[398],NA,NA,NA,NA
Tennessee,Nashville,Nashville BCycle[399],NA,NA,NA,NA
Texas,Austin,CapMetro[400],3 Gen. B-Cycle,NA,December 2013[401],NA
Texas,Austin,Yellow Bike Project,WhiteBikes,Austin YBP and city council,January 1997,NA
Texas,El Paso,El Paso BCycle[402],3 Gen. B-Cycle,NA,14 September 2015,NA
Texas,Fort Worth,Fort Worth B-Cycle[403],3 Gen. B-Cycle,NA,22 April 2013,NA
Texas,Houston,Houston Bcycle[404][405],3 Gen. B-Cycle,NA,2012,30 June 2024
Texas,San Antonio,San Antonio B-Cycle[406],3 Gen. B-Cycle,NA,2011,NA
Texas,Weslaco,RGV B-cycle[407],NA,NA,NA,NA
Utah,Salt Lake City,GREENbike[408][409],3 Gen. B-Cycle,NA,2013,NA
Washington,Seattle,Pronto Cycle Share[410],8D,Motivate,13 October 2014,31 March 2017
Washington metropolitan area,Washington metropolitan area,Capital Bikeshare,PBSC & 8D,Motivate,2010,NA
Wisconsin,Madison,Madison B-Cycle[412],3 Gen. B-Cycle,NA,2011,NA
Wisconsin,Milwaukee,Bublr Bikes[413][414],3 Gen. B-Cycle,NA,2014,NA
Uzbekistan,Tashkent,Q.watt[415],4 Gen.,NA,2024,NA
